latinname,commonname,numobs,numyears,meanobsyear
Alosa pseudoharengus,Alewife,6495,50,129.9
Amblyraja radiata,Starry ray,2599,50,51.98
Ammodytes dubius,Northern sand lance,1446,33,43.81818181818182
Anarhichas lupus,Atlantic wolffish,667,29,23
Argentina silus,Greater argentine,134,11,12.181818181818182
Aspidophoroides monopterygius,Alligatorfish,294,13,22.615384615384617
Brosme brosme,Tusk,656,30,21.866666666666667
Clupea harengus,Atlantic herring,6683,50,133.66
Dipturus laevis,Barndoor skate,964,21,45.904761904761905
Enchelyopus cimbrius,Fourbeard rockling,807,27,29.88888888888889
Gadus morhua,Atlantic cod,5254,50,105.08
Glyptocephalus cynoglossus,Witch flounder,3719,50,74.38
Hemitripterus americanus,Sea raven,3913,50,78.26
Hippoglossoides platessoides,American plaice,4545,50,90.9
Hippoglossus hippoglossus,Atlantic halibut,265,19,13.947368421052632
Leucoraja erinacea,Little skate,8052,50,161.04
Leucoraja ocellata,Winter skate,4963,50,99.26
Limanda ferruginea,Yellowtail flounder,4681,50,93.62
Malacoraja senta,Smooth skate,1587,48,33.0625
Melanogrammus aeglefinus,Haddock,3998,50,79.96
Merluccius bilinearis,Silver hake,10262,50,205.24
Myoxocephalus octodecemspinosus,Longhorn sculpin,5237,50,104.74
Pollachius virens,Saithe,2402,50,48.04
Pseudopleuronectes americanus,Winter flounder,5034,50,100.68
Scomber scombrus,Atlantic mackerel,3261,50,65.22
Sebastes fasciatus,Acadian redfish,2732,50,54.64
Tautogolabrus adspersus,Cunner,335,24,13.958333333333334
Urophycis chuss,Red hake,7281,50,145.62
Urophycis tenuis,White hake,3708,50,74.16
